Jenish,date unknown ,,Falcons,,,,,
Jenish Vaniya,date unknown ,,Eagles,,,,,
Jenish Vaniya,date unknown ,,Falcon XI,,,,,
Jermin,date unknown ,,Friends Fujairah,,,,,
Jermy,date unknown ,,PCC,,,,,
Jesar Maqsood Shah,January 14  1994  India ,24 years 84 days,United Arab Emirates Women,,,,,
Jestin,date unknown ,,AL Ghurair Construction,,,,,
Sachin Jha,December 23  1998  India ,19 years 106 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Jibran,date unknown ,,Dewa,,,,,
Jignesh Patel,date unknown ,,Gujarat Lions,,,,,
Jignesh Patel,date unknown ,,Gujarat Lions (UAE),,,,,
Jijo,date unknown ,,Wellcare Warriors,,,,,
Jijo Joseph,date unknown ,,Anantara Falcons,,,,,
Jiju,date unknown ,,Abela and Co,,,,,
Jikesh,date unknown ,,SHJ Warriors,,,,,
Jithin,date unknown ,,WME Warriors,,,,,
Jiveka,date unknown ,,Air Arabia,,,,,
Johnson,date unknown ,,Modern Plastics,,,,,
Johnson,date unknown ,,SGH Warriors,,,,,
John Lessly,date unknown ,,Veerans,,,,,
Jojin Lawsker,date unknown ,,PCC,,,,,
Jolin,date unknown ,,WME Warriors,,,,,
Jonathan Scally,date unknown ,,Hunters,,,,,
Jay Joshi,May 20  1995  India ,22 years 323 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Jostin,date unknown ,,The Westin Cricketers,,,,,
Jo Tom,date unknown ,,Specialist Players,,,,,
Jowel Barua,date unknown ,,Duke Boys,,,,,
Joy Jesudas,date unknown ,,Veerans,,,,,
Jubed Ahmed,date unknown ,,Rocking Stars,,,,,
Judin Alphonse,date unknown ,,Rocking Stars,,,,,
Jugal,date unknown ,,Dubai Night Riders,,,,,
Junaid,date unknown ,,Alliance Insurance,,,,,
Junaid,date unknown ,,Virtual Cloud Falcons,,,,,
Junaid,date unknown ,,Al Mumtaz,,,,,
Junaid,date unknown ,,HLG Stars,,,,,
Junaid,date unknown ,,Heidelberg Warriors,,,,,
Junaid,date unknown ,,Alliance Insurance,,,,,
Junaid,date unknown ,,BK Gulf LLC,,,,,
Junaid Khan,date unknown  Rawalpindi Pakistan ,,Butt XI,,,,,
Junaid Khan,date unknown ,,Butt XI,,,,,
Junaid Shamsi,date unknown ,,Eleven Aces,,,,,
Justin D'Souza,June 18  1999 ,18 years 294 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Juzar,date unknown ,,Leopards,,,,,
Jyonty,date unknown ,,Virtual Cloud Falcons,,,,,
Kamar,date unknown ,,Giffin Traffiks,,,,,
Kabeer Karoth,date unknown ,,Eppco,,,,,
Kabir,date unknown ,,SGH Challengers,,,,,
Kabir Hussain,date unknown ,,AWR 2,,,,,
Kafthik,date unknown ,,Warriors Dubai,,,,,
Kaif Ghaury,March 13  1964  Pakistan ,54 years 26 days,United Arab Emirates,,Left-hand bat,Slow left-arm orthodox,,
Kailas,September 18  1992  Kerala ,25 years 202 days,Emrill Cricket Club,,,,,
Kalam,date unknown ,,Stallions,,,,,
Kaleem,date unknown ,,Faisal 11,,,,,
Kallis,date unknown ,,Abela and Co,,,,,
Kallis,date unknown ,,Abela and Co,,,,,
G Kaluarachchige,date unknown ,,Fly Emirates XI,,,,Wicketkeeper,
Kamal,date unknown ,,Mutants,,,,,
Kamal,date unknown ,,Mutants,,,,,
Kamran,date unknown ,,Eppco,,,,,
Kamil,date unknown ,,Naik Cricketers,,,,,
Kamil,date unknown ,,HLG Stars,,,,,
Kamran,date unknown ,,Qalandars,,,,,
Kamran,date unknown ,,Khaleej Times,,,,,
Kamran Hanif,date unknown ,,Sialkot CC,,,,,
Kamran Hussain,date unknown ,,Alec,,,,,
Kamran Shazad,August 25  1980 ,37 years 226 days,United Arab Emirates,Bowler,Right-hand bat,Right-arm medium-fast,,
Kannan,date unknown ,,Metro Tigers Dubai,,,,,
Kannan,date unknown ,,AMCC Ajman,,,,,
Kapil,date unknown ,,Kazmi Knight Riders,,,,,
Kapil,date unknown ,,WME Warriors,,,,,
Karan,date unknown ,,Hawks (UAE),,,,,
Karim,date unknown ,,Abu Dhabi United,,,,,
Karthic,date unknown ,,Red Knights,,,,,
Karthik,date unknown ,,Cobras (UAE),,,,,
Karthik,date unknown ,,Red Knights,,,,,
Karthik,date unknown ,,Wonderlads,,,,,
Karthik,date unknown ,,Mutants,,,,,
Karthik,date unknown ,,SHJ Warriors,,,,,
K Karthik,date unknown ,,AU Finja,,,,,
M Karthik,date unknown ,,AU Finja,,,,,
Kartik,date unknown ,,Wonderlads,,,,,
Kartik,date unknown ,,Cobras (UAE),,,,,
Kartik,date unknown ,,Blue Warriors,,,,,
Kartik Palaniappan,date unknown ,,United Arab Emirates Under-19s,,,,,
Kashif,date unknown ,,Discovery Garden,,,,,
Kashif,date unknown ,,Asian Eagles Etis,,,,,
Kashif,date unknown ,,BAWA United CC,,,,,
Kashif,date unknown ,,Technialabs Falcons,,,,,
Kashif Butt,date unknown ,,Abu Dhabi XI,,,,,
Kashif Hussain Khan Tareen,October 19  1965  Lahore  Punjab  Pakistan ,52 years 171 days,United Arab Emirates ,,Right-hand bat,Right-arm medium  Right-arm offbreak,,
Kashif Mehmood,date unknown ,,SS Lootah Spinners,,,,,
Kathiwala,date unknown ,,Dhoom 8,,,,,
Aaron George Joseph Kattampally,January 2  1997 ,21 years 96 days,United Arab Emirates Under-19s,,,,,
Atharva Kavi,October 19  1997  India ,20 years 171 days,United Arab Emirates Under-19s,,Left-hand bat,,,
Kazi,date unknown ,,Virtual Cloud Falcons,,,,,
Kazim,date unknown ,,Asian Eagles,,,,,
Kazim,date unknown ,,SP Warriors,,,,,
Kazim Abbas,date unknown ,,Gargash Smashers,,,,,
Kenneth,date unknown ,,Sandpipers,,,,,
Ketan,date unknown ,,Techrobotix,,,,,
Kevin,date unknown ,,Naik Riders,,,,,
Kevin,date unknown ,,Naik Cricketers,,,,,
Khalid,date unknown ,,Team Mavericks,,,,,
Khalid,date unknown ,,Star CC,,,,,
Khalid,date unknown ,,Alliance Insurance,,,,,
Khalid,date unknown ,,Angaar,,,,,
Khalid,date unknown ,,Cousins CC,,,,,
Khalid,date unknown ,,Alliance Insurance,,,,,
Khalid Elahi,date unknown ,,,,,,Umpire,
Khalid Hussain,date unknown ,,DHL United,,,,,
Khalid Rehman,date unknown  Al Ain ,,United Arab Emirates Under-17s,,Right-hand bat,Right-arm offbreak,,
Khalid Shah,date unknown ,,UAE Blues,,,,,
Khalid Younus,date unknown ,,SS Lootah Spinners,,,,,
Khalil,date unknown ,,Hawks XI,,,,,
Khalil Mohammed,date unknown ,,Hunters,,,,,
Khalil Rehman,date unknown ,,DHL United,,,,,
S Khan,date unknown ,,United Arab Emirates,,,,,
Bharat Khanwani,date unknown ,,Duke Boys,,,,,
Khayz,date unknown ,,Wellcare Warriors,,,,,
Khizar,date unknown ,,Malang 8,,,,,
Khizer,date unknown ,,Shagarah Panthers,,,,,
Khizer,date unknown ,,The Challengers,,,,,
Khizer Munir,September 18  1990  Pakistan ,27 years 202 days,The Champs,,,,,
Khurram,date unknown ,,Techrobotix,,,,,
Khurram,date unknown ,,Mutants,,,,,
Khurram,date unknown ,,Wasco Energy XI,,,,,
Khurram Hussain,date unknown ,,Spartans,,,,,
Khurram Khan,June 21  1971  Multan  Punjab  Pakistan ,46 years 291 days,United Arab Emirates ,Top-order batsman,Left-hand bat,Slow left-arm orthodox,,
Khurram Maqbool,date unknown ,,Mutants,,,,,
Khurram Sajjad,date unknown ,,DHL United,,,,,
Khurram Shehzad,date unknown ,,Emirates Islamic Bank Invitation XI,,,,,
Khursheed,date unknown ,,BK Gulf LLC,,,,,
Kingsley,date unknown ,,Khaleej Times,,,,,
Kingsley,date unknown ,,Khaleej Times,,,,,
Kintu,date unknown ,,Super Dream Boys,,,,,
Kiran,date unknown ,,AU Finja,,,,,
Kiran,date unknown ,,Park-N-Shop,,,,,
Kiran Somani,date unknown ,,Gujarat Lions,,,,,
Kiran Somani,date unknown ,,Gujarat Lions (UAE),,,,,
Kirit,date unknown ,,Captains,,,,,
Kishore,date unknown ,,Rising Challengers,,,,,
Kishore Kumar,date unknown ,,Friends Fujairah,,,,,
Krishnadas Krishna,date unknown ,,Rising Stars Udyavar,,,,,
Krishna Ravi,date unknown ,,AU Finja,,,,,
Krishna Chandran,August 24  1984  Kollengode  Kerala ,33 years 227 days,United Arab Emirates ,Allrounder,Right-hand bat,Right-arm medium-fast,Krishna Karate,
Kuldeep,date unknown ,,Al Futtaim Carillion,,,,,
